,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,gender,Y
733,A14,24,A32,A41,2603,A64,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A192,A201,False,True
734,A14,4,A34,A40,3380,A61,A74,1,A92,A101,1,A121,37,A143,A152,1,A173,2,A191,A201,False,True
735,A12,36,A31,A44,3990,A65,A72,3,A92,A101,2,A124,29,A141,A152,1,A171,1,A191,A201,False,True
736,A12,24,A32,A41,11560,A61,A73,1,A92,A101,4,A123,23,A143,A151,2,A174,1,A191,A201,False,False
739,A12,30,A30,A49,4280,A62,A73,4,A92,A101,4,A123,26,A143,A151,2,A172,1,A191,A201,False,False
746,A11,15,A32,A40,2511,A61,A71,1,A92,A101,4,A123,23,A143,A151,1,A173,1,A191,A201,False,True
747,A11,12,A32,A40,1274,A61,A72,3,A92,A101,1,A121,37,A143,A152,1,A172,1,A191,A201,False,False
750,A11,6,A32,A42,428,A61,A75,2,A92,A101,1,A122,49,A141,A152,1,A173,1,A192,A201,False,True
751,A11,18,A32,A40,976,A61,A72,1,A92,A101,2,A123,23,A143,A152,1,A172,1,A191,A201,False,False
752,A12,12,A32,A49,841,A62,A74,2,A92,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,False,True
753,A14,30,A34,A43,5771,A61,A74,4,A92,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,False,True
755,A11,24,A32,A40,1285,A65,A74,4,A92,A101,4,A124,32,A143,A151,1,A173,1,A191,A201,False,False
760,A14,15,A34,A40,5045,A65,A75,1,A92,A101,4,A123,59,A143,A152,1,A173,1,A192,A201,False,True
761,A11,18,A34,A42,2124,A61,A73,4,A92,A101,4,A121,24,A143,A151,2,A173,1,A191,A201,False,False
767,A14,10,A32,A41,2901,A65,A72,1,A92,A101,4,A121,31,A143,A151,1,A173,1,A191,A201,False,True
770,A11,24,A32,A41,2812,A65,A75,2,A92,A101,4,A121,26,A143,A151,1,A173,1,A191,A201,False,True
771,A11,36,A34,A46,8065,A61,A73,3,A92,A101,2,A124,25,A143,A152,2,A174,1,A192,A201,False,False
775,A11,24,A32,A40,1371,A65,A73,4,A92,A101,4,A121,25,A143,A151,1,A173,1,A191,A201,False,False
777,A11,18,A32,A43,3509,A61,A74,4,A92,A103,1,A121,25,A143,A152,1,A173,1,A191,A201,False,True
779,A12,18,A32,A45,3872,A61,A71,2,A92,A101,4,A123,67,A143,A152,1,A173,1,A192,A201,False,True
783,A12,12,A32,A40,836,A62,A72,4,A92,A101,2,A122,23,A141,A152,1,A172,1,A191,A201,False,False
790,A12,21,A32,A49,1188,A61,A75,2,A92,A101,4,A122,39,A143,A152,1,A173,2,A191,A201,False,False
795,A14,9,A32,A42,2301,A62,A72,2,A92,A101,4,A122,22,A143,A151,1,A173,1,A191,A201,False,True
797,A14,12,A34,A42,1258,A61,A72,2,A92,A101,4,A122,22,A143,A151,2,A172,1,A191,A201,False,True
801,A12,18,A34,A43,1795,A61,A75,3,A92,A103,4,A121,48,A141,A151,2,A172,1,A192,A201,False,True
802,A11,20,A34,A42,4272,A61,A75,1,A92,A101,4,A122,24,A143,A152,2,A173,1,A191,A201,False,True
804,A12,12,A32,A40,7472,A65,A71,1,A92,A101,2,A121,24,A143,A151,1,A171,1,A191,A201,False,True
809,A12,15,A30,A40,1778,A61,A72,2,A92,A101,1,A121,26,A143,A151,2,A171,1,A191,A201,False,False
815,A12,36,A33,A40,7432,A61,A73,2,A92,A101,2,A122,54,A143,A151,1,A173,1,A191,A201,False,True
817,A14,6,A34,A43,1554,A61,A74,1,A92,A101,2,A123,24,A143,A151,2,A173,1,A192,A201,False,True
826,A11,18,A34,A40,3966,A61,A75,1,A92,A101,4,A121,33,A141,A151,3,A173,1,A192,A201,False,False
831,A11,18,A32,A40,1216,A61,A72,4,A92,A101,3,A123,23,A143,A151,1,A173,1,A192,A201,False,False
833,A12,24,A32,A43,5084,A65,A75,2,A92,A101,4,A123,42,A143,A152,1,A173,1,A192,A201,False,True
834,A13,15,A32,A43,2327,A61,A72,2,A92,A101,3,A121,25,A143,A152,1,A172,1,A191,A201,False,False
836,A14,12,A32,A43,886,A65,A73,4,A92,A101,2,A123,21,A143,A152,1,A173,1,A191,A201,False,True
837,A14,4,A32,A42,601,A61,A72,1,A92,A101,3,A121,23,A143,A151,1,A172,2,A191,A201,False,True
842,A14,18,A32,A45,1943,A61,A72,4,A92,A101,4,A121,23,A143,A152,1,A173,1,A191,A201,False,False
856,A14,10,A32,A48,894,A65,A74,4,A92,A101,3,A122,40,A143,A152,1,A173,1,A192,A201,False,True
858,A11,15,A32,A40,3959,A61,A73,3,A92,A101,2,A122,29,A143,A152,1,A173,1,A192,A201,False,False
862,A11,24,A32,A43,2439,A61,A72,4,A92,A101,4,A121,35,A143,A152,1,A173,1,A192,A201,False,False
865,A14,15,A32,A42,2221,A63,A73,2,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,False,True
866,A11,18,A32,A43,2389,A61,A72,4,A92,A101,1,A123,27,A142,A152,1,A173,1,A191,A201,False,True
869,A11,12,A32,A42,652,A61,A75,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,False,True
870,A14,36,A33,A42,7678,A63,A74,2,A92,A101,4,A123,40,A143,A152,2,A173,1,A192,A201,False,True
873,A14,15,A32,A44,874,A65,A72,4,A92,A101,1,A121,24,A143,A152,1,A173,1,A191,A201,False,True
875,A12,11,A34,A40,1322,A64,A73,4,A92,A101,4,A123,40,A143,A152,2,A173,1,A191,A201,False,True
883,A14,18,A34,A43,1098,A61,A71,4,A92,A101,4,A123,65,A143,A152,2,A171,1,A191,A201,False,True
885,A11,12,A32,A46,795,A61,A72,4,A92,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,False,False
896,A11,21,A32,A43,2606,A61,A72,4,A92,A101,4,A122,28,A143,A151,1,A174,1,A192,A201,False,True
897,A14,12,A34,A42,1592,A64,A74,3,A92,A101,2,A122,35,A143,A152,1,A173,1,A191,A202,False,True
898,A14,15,A32,A42,2186,A65,A74,1,A92,A101,4,A121,33,A141,A151,1,A172,1,A191,A201,False,True
908,A14,15,A33,A41,3594,A61,A72,1,A92,A101,2,A122,46,A143,A152,2,A172,1,A191,A201,False,True
909,A12,9,A32,A40,3195,A65,A73,1,A92,A101,2,A121,33,A143,A152,1,A172,1,A191,A201,False,True
910,A14,36,A33,A43,4454,A61,A73,4,A92,A101,4,A121,34,A143,A152,2,A173,1,A191,A201,False,True
911,A12,24,A34,A42,4736,A61,A72,2,A92,A101,4,A123,25,A141,A152,1,A172,1,A191,A201,False,False
912,A12,30,A32,A43,2991,A65,A75,2,A92,A101,4,A123,25,A143,A152,1,A173,1,A191,A201,False,True
915,A12,48,A30,A410,18424,A61,A73,1,A92,A101,2,A122,32,A141,A152,1,A174,1,A192,A202,False,False
920,A14,18,A34,A42,1817,A61,A73,4,A92,A101,2,A124,28,A143,A152,2,A173,1,A191,A201,False,True
922,A11,9,A32,A43,1366,A61,A72,3,A92,A101,4,A122,22,A143,A151,1,A173,1,A191,A201,False,False
926,A11,18,A34,A42,1049,A61,A72,4,A92,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,False,True
931,A12,9,A32,A43,1670,A61,A72,4,A92,A101,2,A123,22,A143,A152,1,A173,1,A192,A201,False,False
934,A11,12,A32,A43,1498,A61,A73,4,A92,A101,1,A123,23,A141,A152,1,A173,1,A191,A201,False,True
936,A13,9,A32,A43,745,A61,A73,3,A92,A101,2,A121,28,A143,A152,1,A172,1,A191,A201,False,False
944,A11,15,A32,A42,1845,A61,A72,4,A92,A103,1,A122,46,A143,A151,1,A173,1,A191,A201,False,True
945,A12,48,A30,A40,8358,A63,A72,1,A92,A101,1,A123,30,A143,A152,2,A173,1,A191,A201,False,True
952,A12,24,A32,A41,4113,A63,A72,3,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,False,False
953,A14,36,A32,A42,10974,A61,A71,4,A92,A101,2,A123,26,A143,A152,2,A174,1,A192,A201,False,False
954,A11,12,A32,A40,1893,A61,A73,4,A92,A103,4,A122,29,A143,A152,1,A173,1,A192,A201,False,True
955,A11,24,A34,A43,1231,A64,A75,4,A92,A101,4,A122,57,A143,A151,2,A174,1,A192,A201,False,True
965,A12,30,A32,A43,1715,A65,A73,4,A92,A101,1,A123,26,A143,A152,1,A173,1,A191,A201,False,True
967,A14,15,A32,A43,3568,A61,A75,4,A92,A101,2,A123,54,A141,A151,1,A174,1,A192,A201,False,True
972,A11,24,A31,A40,1193,A61,A71,1,A92,A102,4,A124,29,A143,A151,2,A171,1,A191,A201,False,False
974,A14,30,A34,A43,2831,A61,A73,4,A92,A101,2,A123,33,A143,A152,1,A173,1,A192,A201,False,True
975,A13,24,A32,A43,1258,A63,A73,3,A92,A101,3,A123,57,A143,A152,1,A172,1,A191,A201,False,True
976,A12,6,A32,A43,753,A61,A73,2,A92,A103,3,A121,64,A143,A152,1,A173,1,A191,A201,False,True
982,A13,21,A32,A40,2923,A62,A73,1,A92,A101,1,A123,28,A141,A152,1,A174,1,A192,A201,False,True
985,A11,15,A34,A42,1433,A61,A73,4,A92,A101,3,A122,25,A143,A151,2,A173,1,A191,A201,False,True
987,A14,13,A32,A43,1409,A62,A71,2,A92,A101,4,A121,64,A143,A152,1,A173,1,A191,A201,False,True
995,A14,12,A32,A42,1736,A61,A74,3,A92,A101,4,A121,31,A143,A152,1,A172,1,A191,A201,False,True
